"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","Bin%","Cat%","Cont%","BinRank%","CatRank%","ContRank%"
"PLEKHG4B",15524,"9.09e-01","6.44e-01","NA","12879","11251","NA","0.859","0.694","NA","0.795","0.694","NA"
"TEPSIN",15525,"9.51e-01","5.97e-01","2.1e-01","13843","10658","3022","0.924","0.658","0.217","0.854","0.658","0.217"
"FTO",15526,"7.79e-01","8.68e-01","5.07e-01","10134","14278","7105","0.676","0.881","0.511","0.625","0.881","0.511"
"CSNKA2IP",15527,"2.29e-01","6.91e-01","6.26e-01","4978","11860","8747","0.332","0.732","0.629","0.307","0.732","0.629"
"RALGAPA1",15528,"9.04e-01","7.4e-01","6.11e-01","12747","12459","8526","0.851","0.769","0.613","0.786","0.769","0.613"
"RASGEF1B",15529,"4.77e-03","2.85e-01","2.86e-02","40","6122","500","0.00267","0.378","0.0359","0.00247","0.378","0.0359"
"CCDC195",15530,"7.91e-01","6.52e-01","7.64e-01","10322","11337","10635","0.689","0.7","0.764","0.637","0.699","0.764"
"TCF4",15531,"2.65e-01","6.17e-01","7.9e-01","5340","10903","10981","0.356","0.673","0.789","0.329","0.673","0.789"
"GABRA1",15532,"3.82e-01","1.32e-01","8.1e-01","6354","3416","11243","0.424","0.211","0.808","0.392","0.211","0.808"
"INAFM2",15533,"8.12e-01","6.39e-02","4.93e-03","10707","1921","147","0.714","0.119","0.0106","0.661","0.119","0.0106"
"LEUTX",15534,"4.72e-01","7.74e-02","NA","7047","2200","NA","0.47","0.136","NA","0.435","0.136","NA"
"COLCA2",15535,"1.08e-02","1.92e-02","5.44e-01","207","720","7593","0.0138","0.0444","0.546","0.0128","0.0444","0.546"
"VSIG10L2",15536,"5.95e-01","4.21e-01","6.78e-01","7989","8188","9471","0.533","0.505","0.681","0.493","0.505","0.681"
"FBXL22",15537,"4.79e-02","6.26e-01","3.88e-01","1442","11022","5477","0.0962","0.68","0.394","0.089","0.68","0.394"
"SPIN3",15538,"2.16e-01","7.87e-01","NA","4814","13125","NA","0.321","0.81","NA","0.297","0.81","NA"
"GIMD1",15539,"9.5e-02","1.32e-01","3.22e-02","2754","3414","552","0.184","0.211","0.0397","0.17","0.211","0.0397"
"PAX6",15540,"3.21e-01","2.75e-01","1.38e-01","5854","5976","2029","0.391","0.369","0.146","0.361","0.369","0.146"
"SCN3A",15541,"9.3e-01","4.03e-01","6.02e-01","13397","7907","8414","0.894","0.488","0.605","0.827","0.488","0.605"
"GFAP",15542,"1.88e-01","9.77e-01","5.72e-01","4429","15859","7994","0.296","0.979","0.575","0.273","0.978","0.575"
"KCNC1",15543,"8.81e-01","6.61e-01","6.49e-01","12185","11475","9041","0.813","0.708","0.65","0.752","0.708","0.65"
"FAM217A",15544,"8.6e-01","1.58e-01","6.85e-01","11707","3952","9574","0.781","0.244","0.688","0.722","0.244","0.688"
"PAX4",15545,"3.62e-01","3.41e-01","2.85e-01","6171","6986","4047","0.412","0.431","0.291","0.381","0.431","0.291"
"MED17",15546,"2.2e-01","4.87e-01","2.07e-01","4860","9161","2964","0.324","0.565","0.213","0.3","0.565","0.213"
"NCBP2L",15547,"9.81e-01","8.37e-01","NA","14547","13855","NA","0.971","0.855","NA","0.897","0.855","NA"
"THSD8",15548,"8.05e-02","5.27e-01","5.82e-01","2386","9728","8127","0.159","0.6","0.584","0.147","0.6","0.584"
"ZC3H11A",15549,"9.09e-01","3.44e-01","7.23e-02","12861","7045","1126","0.858","0.435","0.0809","0.793","0.435","0.0809"
"DTHD1",15550,"1.35e-01","3.71e-01","7.37e-01","3598","7444","10280","0.24","0.459","0.739","0.222","0.459","0.739"
"UNC45A",15551,"1.12e-01","6.04e-01","9.97e-01","3108","10738","13868","0.207","0.663","0.997","0.192","0.662","0.997"
"RBMX2",15552,"4.39e-02","6.05e-01","6.43e-01","1304","10753","8965","0.087","0.664","0.644","0.0804","0.663","0.644"
"INTS6L",15553,"1.3e-02","3.2e-02","1.33e-01","275","1077","1943","0.0184","0.0665","0.14","0.017","0.0664","0.14"
"NECAP1",15554,"3.99e-02","1.28e-01","6.83e-01","1185","3346","9540","0.0791","0.207","0.686","0.0731","0.206","0.686"
"GABRD",15555,"6.99e-01","8.06e-01","7.72e-01","9042","13389","10734","0.603","0.826","0.772","0.558","0.826","0.772"
"TMEM211",15556,"9.54e-01","4.67e-01","2.79e-01","13928","8862","3979","0.929","0.547","0.286","0.859","0.547","0.286"
"HNRNPU",15557,"9.63e-01","4.43e-01","7.51e-01","14135","8490","10455","0.943","0.524","0.752","0.872","0.524","0.752"
"PIGN",15558,"9.92e-02","7.78e-01","9e-01","2843","12985","12541","0.19","0.801","0.901","0.175","0.801","0.901"
"LRRC8B",15559,"2.98e-01","5.84e-01","7.97e-01","5645","10489","11082","0.377","0.647","0.797","0.348","0.647","0.797"
"PERCC1",15560,"8.62e-01","6.11e-01","2.39e-01","11750","10826","3410","0.784","0.668","0.245","0.725","0.668","0.245"
"KCTD7",15561,"8.31e-01","1.04e-01","5.51e-01","11069","2843","7701","0.739","0.175","0.554","0.683","0.175","0.554"
"ST3GAL5",15562,"2.67e-01","1.07e-01","5.37e-01","5358","2925","7512","0.358","0.181","0.54","0.331","0.18","0.54"
"CNTN2",15563,"1.28e-01","3.64e-01","9.5e-01","3466","7340","13228","0.231","0.453","0.951","0.214","0.453","0.951"
"MIA2",15564,"6.32e-02","5.27e-01","3.48e-01","1913","9733","4914","0.128","0.601","0.353","0.118","0.6","0.353"
"PFKFB3",15565,"7.44e-01","9.11e-01","6.93e-01","9602","14863","9679","0.641","0.917","0.696","0.592","0.917","0.696"
"RTTN",15566,"1.19e-01","9.29e-01","7.26e-01","3261","15117","10131","0.218","0.933","0.728","0.201","0.933","0.728"
"LPP",15567,"3.68e-01","2.92e-01","4.3e-02","6217","6244","715","0.415","0.385","0.0514","0.384","0.385","0.0514"
"RAI1",15568,"4.85e-01","1.76e-01","6.51e-01","7147","4292","9071","0.477","0.265","0.652","0.441","0.265","0.652"
"LIAS",15569,"1.24e-01","3.96e-01","4.66e-02","3375","7811","763","0.225","0.482","0.0548","0.208","0.482","0.0548"
"OR10Z1",15570,"1.18e-01","2.58e-02","1.23e-01","3254","893","1830","0.217","0.0551","0.132","0.201","0.0551","0.132"
"GABRG2",15571,"1.5e-01","1.58e-01","7.37e-01","3859","3949","10283","0.258","0.244","0.739","0.238","0.244","0.739"
"OR10K2",15572,"2.32e-01","9.72e-01","9.68e-02","5007","15767","1490","0.334","0.973","0.107","0.309","0.973","0.107"
"FOXO6",15573,"5.56e-01","2.85e-01","9.52e-01","7687","6135","13240","0.513","0.379","0.952","0.474","0.378","0.952"
"MAPK10",15574,"6.15e-03","2.85e-01","8.28e-01","59","6140","11529","0.00394","0.379","0.829","0.00364","0.379","0.829"
"OR2Z1",15575,"8.73e-01","2.89e-01","NA","11982","6198","NA","0.8","0.383","NA","0.739","0.382","NA"
"OR6N2",15576,"9.95e-01","1.76e-01","NA","14815","4294","NA","0.989","0.265","NA","0.914","0.265","NA"
"OR2I1P",15577,"2.06e-01","1.14e-01","NA","4704","3072","NA","0.314","0.19","NA","0.29","0.19","NA"
"NFIC",15578,"9.76e-01","4.44e-01","4.22e-01","14443","8504","5922","0.964","0.525","0.426","0.891","0.525","0.426"
"OR10G3",15579,"1.28e-01","1.75e-01","3e-01","3458","4271","4240","0.231","0.264","0.305","0.213","0.263","0.305"
"OR2T11",15580,"6.38e-01","2.25e-02","NA","8402","804","NA","0.561","0.0496","NA","0.518","0.0496","NA"
"ZFHX3",15581,"8.97e-01","2.87e-01","5.09e-01","12588","6155","7132","0.84","0.38","0.513","0.777","0.38","0.513"
"RBFOX1",15582,"7.28e-01","1.89e-01","6.2e-01","9385","4529","8649","0.626","0.28","0.622","0.579","0.279","0.622"
"OR6Y1",15583,"9.25e-01","7.09e-01","8.17e-02","13255","12079","1272","0.884","0.746","0.0914","0.818","0.745","0.0914"
"OR10D3",15584,"9.34e-01","7.85e-01","NA","13494","13101","NA","0.9","0.809","NA","0.833","0.808","NA"
"OR5A2",15585,"7.72e-01","1.09e-01","NA","10013","2946","NA","0.668","0.182","NA","0.618","0.182","NA"
"OR1I1",15586,"1.7e-01","4.87e-01","NA","4172","9162","NA","0.278","0.565","NA","0.257","0.565","NA"
"OR4D1",15587,"8.37e-01","1.04e-01","NA","11185","2849","NA","0.746","0.176","NA","0.69","0.176","NA"
"RGPD1",15588,"3.34e-01","2.72e-01","1.33e-01","5962","5920","1953","0.398","0.365","0.14","0.368","0.365","0.14"
"OR4F5",15589,"9.82e-01","1.79e-01","NA","14563","4363","NA","0.972","0.269","NA","0.898","0.269","NA"
"OR11H2",15590,"1.2e-01","5.31e-02","NA","3291","1670","NA","0.22","0.103","NA","0.203","0.103","NA"
"OR4E2",15591,"5.08e-02","6.27e-01","7.4e-01","1514","11035","10317","0.101","0.681","0.742","0.0934","0.681","0.742"
"OR2B11",15592,"7.91e-01","4.21e-01","2.43e-01","10311","8189","3471","0.688","0.505","0.249","0.636","0.505","0.249"
"OR52K1",15593,"1.8e-01","4.56e-01","NA","4333","8678","NA","0.289","0.536","NA","0.267","0.535","NA"
"OR13D1",15594,"3.12e-01","2.42e-01","NA","5782","5464","NA","0.386","0.337","NA","0.357","0.337","NA"
"PHGDH",15595,"5.3e-01","8.88e-01","9.4e-01","7463","14547","13091","0.498","0.898","0.941","0.46","0.897","0.941"
"FAM71F2",15596,"2.27e-01","1.23e-01","8.75e-01","4950","3236","12174","0.33","0.2","0.875","0.305","0.2","0.875"
"OR10J1",15597,"7.83e-02","6.52e-02","NA","2322","1955","NA","0.155","0.121","NA","0.143","0.121","NA"
"OR8S1",15598,"1.27e-01","1.03e-01","NA","3454","2828","NA","0.23","0.175","NA","0.213","0.174","NA"
"MON2",15599,"2.24e-01","6.15e-01","3.12e-01","4911","10884","4418","0.328","0.672","0.318","0.303","0.671","0.318"
"OR2A25",15600,"9.44e-01","6.37e-02","1.73e-01","13697","1918","2504","0.914","0.118","0.18","0.845","0.118","0.18"
"OR51F2",15601,"1.02e-01","7.38e-01","6.51e-01","2915","12448","9081","0.195","0.768","0.653","0.18","0.768","0.653"
"OR8D4",15602,"2.01e-01","6.63e-01","NA","4622","11498","NA","0.308","0.71","NA","0.285","0.709","NA"
"OR2A5",15603,"1.6e-01","2.45e-01","8.53e-01","4019","5501","11875","0.268","0.34","0.854","0.248","0.339","0.854"
"OR6B1",15604,"5.18e-03","1.85e-02","2.5e-02","46","695","443","0.00307","0.0429","0.0318","0.00284","0.0429","0.0318"
"FER1L5",15605,"8.8e-01","5.75e-01","3.97e-01","12164","10350","5584","0.812","0.639","0.401","0.75","0.639","0.401"
"OR4E1",15606,"6.4e-01","7.18e-01","9.88e-01","8421","12186","13753","0.562","0.752","0.989","0.52","0.752","0.989"
"OR2C3",15607,"9.53e-01","9.04e-01","NA","13911","14749","NA","0.928","0.91","NA","0.858","0.91","NA"
"OR51D1",15608,"8.81e-01","2.38e-01","4.98e-01","12170","5375","6974","0.812","0.332","0.501","0.751","0.332","0.501"
"OR51L1",15609,"9.4e-01","4.27e-01","5.91e-01","13603","8260","8265","0.908","0.51","0.594","0.839","0.51","0.594"
"OR5AU1",15610,"4.59e-02","2.51e-02","NA","1372","875","NA","0.0916","0.054","NA","0.0846","0.054","NA"
"OR2H2",15611,"2.46e-02","7.36e-02","NA","653","2128","NA","0.0436","0.131","NA","0.0403","0.131","NA"
"PNPO",15612,"7.3e-02","5.02e-01","7.84e-01","2183","9371","10909","0.146","0.578","0.784","0.135","0.578","0.784"
"MICU1",15613,"3.38e-02","8.17e-02","2.32e-01","963","2296","3332","0.0643","0.142","0.24","0.0594","0.142","0.24"
"OR5K1",15614,"2.21e-01","9.09e-01","NA","4869","14840","NA","0.325","0.916","NA","0.3","0.916","NA"
"OR13G1",15615,"9.65e-01","6.53e-01","NA","14183","11355","NA","0.946","0.701","NA","0.875","0.701","NA"
"POLR1C",15616,"5.63e-02","2.64e-01","8.09e-01","1696","5791","11228","0.113","0.357","0.807","0.105","0.357","0.807"
"CCDC88A",15617,"8.95e-01","7.73e-02","7.88e-01","12533","2198","10950","0.836","0.136","0.787","0.773","0.136","0.787"
"PATJ",15618,"8.52e-01","3.01e-01","9.32e-01","11534","6385","12986","0.77","0.394","0.933","0.712","0.394","0.933"
"MANBA",15619,"2.29e-02","1.19e-02","9.77e-01","587","488","13606","0.0392","0.0301","0.978","0.0362","0.0301","0.978"
"C11orf80",15620,"2.1e-01","1.27e-01","5.06e-01","4751","3327","7093","0.317","0.205","0.51","0.293","0.205","0.51"
"MYH14",15621,"8.86e-01","7.16e-01","3.04e-01","12323","12173","4303","0.822","0.751","0.309","0.76","0.751","0.309"
"ST3GAL3",15622,"3.59e-01","3.16e-01","8.35e-01","6151","6614","11633","0.41","0.408","0.836","0.379","0.408","0.836"
"GLUL",15623,"5.63e-01","9.59e-01","2.78e-01","7743","15573","3969","0.517","0.961","0.285","0.478","0.961","0.285"
"BCL11A",15624,"NA","2.15e-01","NA","16170","4981","NA","NA","0.307","NA","0.998","0.307","NA"
"A4GALT",15625,"5.92e-01","4.43e-01","1.11e-01","7962","8488","1674","0.531","0.524","0.12","0.491","0.524","0.12"
"BICDL2",15626,"7.19e-02","9.49e-02","8.76e-01","2149","2621","12200","0.143","0.162","0.877","0.133","0.162","0.877"
"TM9SF2",15627,"5.1e-01","3.76e-01","7.49e-01","7323","7523","10442","0.489","0.464","0.751","0.452","0.464","0.751"
"TLR5",15628,"1.76e-01","6.82e-01","5.03e-01","4268","11726","7047","0.285","0.724","0.507","0.263","0.723","0.507"
"NDP",15629,"3.3e-01","7.7e-01","NA","5934","12880","NA","0.396","0.795","NA","0.366","0.795","NA"
"MYL10",15630,"4.15e-02","5.77e-01","4.55e-01","1225","10385","6378","0.0817","0.641","0.458","0.0756","0.641","0.458"
"MBD5",15631,"9.88e-01","8.68e-01","2.03e-01","14677","14280","2922","0.979","0.881","0.21","0.905","0.881","0.21"
"TLR2",15632,"8.26e-01","4.79e-01","5.2e-02","11002","9039","843","0.734","0.558","0.0606","0.679","0.558","0.0606"
"MACROD2",15633,"5.19e-01","8.32e-01","9.43e-01","7396","13783","13124","0.494","0.851","0.943","0.456","0.85","0.943"
"SNTG1",15634,"7.56e-01","3.16e-01","1.41e-01","9778","6616","2069","0.652","0.408","0.149","0.603","0.408","0.149"
"PFKM",15635,"2.8e-02","2.01e-01","3.89e-02","779","4753","657","0.052","0.293","0.0472","0.0481","0.293","0.0472"
"MEA1",15636,"4.62e-01","1.36e-01","4.6e-01","6980","3498","6455","0.466","0.216","0.464","0.431","0.216","0.464"
"ALDOA",15637,"3.59e-01","2.74e-01","4.89e-01","6148","5954","6842","0.41","0.367","0.492","0.379","0.367","0.492"
"IQSEC2",15638,"2.85e-01","1.52e-02","3.13e-02","5517","591","539","0.368","0.0365","0.0387","0.34","0.0365","0.0387"
"SRP72",15639,"2.17e-01","5.77e-01","3.97e-01","4822","10388","5578","0.322","0.641","0.401","0.297","0.641","0.401"
"MYO3A",15640,"7.41e-01","4.92e-01","5.89e-01","9555","9240","8239","0.638","0.57","0.592","0.589","0.57","0.592"
"CD59",15641,"8.83e-01","9.77e-01","NA","12229","15852","NA","0.816","0.978","NA","0.754","0.978","NA"
"EPS8",15642,"3.69e-01","2.34e-01","5.32e-02","6228","5309","864","0.416","0.328","0.0621","0.384","0.328","0.0621"
"LOXHD1",15643,"3.19e-01","2.14e-01","5.55e-01","5843","4964","7763","0.39","0.306","0.558","0.36","0.306","0.558"
"COL25A1",15644,"3.27e-01","1.81e-01","6.56e-01","5909","4391","9155","0.394","0.271","0.658","0.365","0.271","0.658"
"ANKRD40CL",15645,"3.93e-01","8.3e-02","NA","6437","2328","NA","0.43","0.144","NA","0.397","0.144","NA"
"AP3D1",15646,"9.23e-01","1.87e-01","1.21e-01","13194","4502","1793","0.88","0.278","0.129","0.814","0.278","0.129"
"SLC33A1",15647,"4.9e-01","5.88e-01","5.4e-01","7173","10532","7541","0.479","0.65","0.542","0.443","0.65","0.542"
"TEX15",15648,"9.33e-01","6.32e-01","5.05e-01","13457","11092","7066","0.898","0.685","0.508","0.83","0.684","0.508"
"GSS",15649,"2.43e-01","9.29e-01","9.36e-01","5117","15104","13043","0.341","0.932","0.938","0.316","0.932","0.938"
"KRBA2",15650,"1.92e-01","8.96e-02","NA","4498","2479","NA","0.3","0.153","NA","0.278","0.153","NA"
"CD8B2",15651,"7.46e-01","2.12e-01","8.96e-01","9632","4933","12475","0.643","0.304","0.897","0.594","0.304","0.897"
"SEMA3E",15652,"4.44e-02","8.96e-01","9.95e-01","1323","14650","13837","0.0883","0.904","0.995","0.0816","0.904","0.995"
"TCOF1",15653,"9.29e-01","6.35e-01","NA","13353","11130","NA","0.891","0.687","NA","0.824","0.687","NA"
"GAB4",15654,"7.96e-01","4.15e-01","2.26e-01","10409","8096","3238","0.695","0.5","0.233","0.642","0.499","0.233"
"TEX51",15655,"1.98e-01","3.41e-01","2.98e-01","4598","7004","4220","0.307","0.432","0.303","0.284","0.432","0.303"
"HOXA1",15656,"9.72e-01","5.5e-01","5.97e-02","14354","10031","948","0.958","0.619","0.0681","0.886","0.619","0.0681"
"CEP78",15657,"7.66e-02","7.21e-01","2.89e-01","2277","12214","4089","0.152","0.754","0.294","0.14","0.754","0.294"
"BLVRB",15658,"1.52e-01","4.82e-01","9.09e-01","3897","9079","12657","0.26","0.56","0.91","0.24","0.56","0.91"
"TMIE",15659,"8.85e-01","3.25e-01","6.37e-01","12304","6753","8886","0.821","0.417","0.639","0.759","0.417","0.639"
"KIF25",15660,"9.45e-01","4.7e-01","NA","13710","8901","NA","0.915","0.549","NA","0.846","0.549","NA"
"CCDC9",15661,"7.88e-02","2.16e-01","8.13e-01","2333","5001","11285","0.156","0.309","0.811","0.144","0.309","0.811"
"EYA1",15662,"4.04e-01","8.69e-01","8.86e-01","6521","14300","12337","0.435","0.883","0.887","0.402","0.882","0.887"
"TRIM8",15663,"8.89e-01","6.08e-01","1.53e-02","12389","10797","327","0.827","0.666","0.0235","0.764","0.666","0.0235"
"SPTA1",15664,"2.23e-02","8.18e-01","3.56e-01","573","13584","5041","0.0382","0.838","0.362","0.0354","0.838","0.362"
"AC138647",15665,"3.19e-01","7.53e-01","5.6e-01","5840","12632","7820","0.39","0.78","0.562","0.36","0.779","0.562"
"SLITRK6",15666,"1.48e-01","5.17e-01","1.42e-01","3845","9587","2073","0.257","0.592","0.149","0.237","0.591","0.149"
"PRPS1",15667,"6.1e-01","3.01e-01","3.7e-01","8122","6381","5243","0.542","0.394","0.377","0.501","0.394","0.377"
"TECTB",15668,"7.46e-01","2.17e-01","6.21e-02","9634","5017","991","0.643","0.31","0.0712","0.594","0.31","0.0712"
"ASAH2B",15669,"8.92e-02","8.1e-02","4.94e-01","2608","2281","6908","0.174","0.141","0.497","0.161","0.141","0.497"
"PRKCB",15670,"1.03e-01","4.38e-01","9.83e-01","2934","8401","13682","0.196","0.519","0.983","0.181","0.518","0.983"
"TMEM8B",15671,"6.29e-01","1.13e-01","8.36e-01","8306","3048","11637","0.554","0.188","0.836","0.512","0.188","0.836"
"RIMBP2",15672,"1.45e-01","3.04e-01","4.88e-01","3776","6418","6826","0.252","0.396","0.491","0.233","0.396","0.491"
"POU3F4",15673,"2.34e-02","2.17e-01","3.05e-01","607","5014","4317","0.0405","0.309","0.31","0.0374","0.309","0.31"
"HECW2",15674,"7.19e-02","5.07e-01","8.98e-03","2152","9436","223","0.144","0.582","0.016","0.133","0.582","0.016"
"MYO1F",15675,"2.8e-02","8.14e-01","1.68e-01","778","13522","2428","0.0519","0.835","0.175","0.048","0.834","0.175"
"SMARCB1",15676,"NA","8.12e-01","NA","16171","13486","NA","NA","0.832","NA","0.998","0.832","NA"
"ANO4",15677,"3.95e-01","1.06e-01","6.05e-02","6456","2900","962","0.431","0.179","0.0691","0.398","0.179","0.0691"
"SEPTIN3",15678,"7.3e-02","2.19e-02","7.05e-01","2181","792","9844","0.146","0.0489","0.708","0.135","0.0489","0.708"
"CYSTM1",15679,"6.82e-01","7.62e-01","8.2e-01","8822","12767","11398","0.589","0.788","0.819","0.544","0.788","0.819"
"PAPLN",15680,"1.37e-01","4.04e-01","1.94e-01","3624","7923","2819","0.242","0.489","0.203","0.224","0.489","0.203"
"SLC9A3",15681,"9.24e-01","6.67e-01","1.17e-02","13240","11552","276","0.883","0.713","0.0198","0.817","0.713","0.0198"
"TBCE",15682,"9.92e-01","6.76e-01","1.22e-01","14749","11662","1801","0.984","0.72","0.129","0.91","0.719","0.129"
"XG",15683,"8.86e-01","4.88e-01","NA","12326","9180","NA","0.823","0.567","NA","0.76","0.566","NA"
"SLC26A4",15684,"9.67e-01","1.27e-01","1.69e-02","14241","3331","346","0.95","0.206","0.0249","0.879","0.206","0.0249"
"GJB6",15685,"5.66e-01","7.82e-01","1.74e-01","7761","13062","2525","0.518","0.806","0.181","0.479","0.806","0.181"
"ABHD5",15686,"7.39e-01","8.32e-01","7.24e-02","9533","13779","1128","0.636","0.85","0.0811","0.588","0.85","0.0811"
"SGCE",15687,"1.02e-01","8.96e-02","3.62e-02","2904","2480","606","0.194","0.153","0.0436","0.179","0.153","0.0436"
"RPS10",15688,"1.28e-01","4.1e-01","NA","3464","8030","NA","0.231","0.496","NA","0.214","0.495","NA"
"GIPC3",15689,"8.96e-01","9.1e-02","5.48e-01","12567","2529","7663","0.839","0.156","0.551","0.775","0.156","0.551"
"RAPGEF2",15690,"8.69e-01","4e-01","6.1e-01","11903","7856","8507","0.794","0.485","0.611","0.734","0.485","0.611"
"VPS45",15691,"7.59e-02","2.49e-01","4.36e-02","2252","5560","721","0.15","0.343","0.0518","0.139","0.343","0.0518"
"OOSP1",15692,"NA","NA","NA","16172","16209","NA","NA","NA","NA","0.998","1","NA"
"SMIM27",15693,"4.25e-01","3.53e-01","NA","6672","7173","NA","0.445","0.443","NA","0.412","0.443","NA"
"UPK3BL2",15694,"4.18e-01","3.41e-01","5.4e-01","6614","6995","7544","0.441","0.432","0.542","0.408","0.432","0.542"
"PJVK",15695,"7.28e-01","4.52e-02","2.13e-01","9388","1447","3050","0.626","0.0893","0.219","0.579","0.0893","0.219"
"MORN2",15696,"4.87e-01","1.6e-01","7.06e-01","7158","3995","9864","0.478","0.247","0.709","0.442","0.246","0.709"
"ZNF746",15697,"4.29e-01","4.91e-01","7.63e-01","6722","9229","10621","0.449","0.57","0.763","0.415","0.569","0.763"
"SLC18A2",15698,"5.72e-02","8.62e-02","7.85e-01","1726","2404","10918","0.115","0.148","0.785","0.106","0.148","0.785"
"CDC14A",15699,"9.21e-01","7.14e-01","8.4e-01","13157","12145","11702","0.878","0.75","0.841","0.812","0.749","0.841"
"MTAP",15700,"1.08e-01","2.3e-02","3.95e-01","3024","828","5563","0.202","0.0511","0.4","0.187","0.0511","0.4"
"CYP21A2",15701,"8.61e-01","3.04e-01","8.3e-01","11734","6417","11553","0.783","0.396","0.83","0.724","0.396","0.83"
"PITX2",15702,"4.02e-01","5.74e-01","4.65e-01","6500","10337","6515","0.434","0.638","0.468","0.401","0.638","0.468"
"KITLG",15703,"3.07e-01","5.64e-01","1.99e-01","5732","10217","2888","0.382","0.631","0.208","0.354","0.63","0.208"
"ABCC8",15704,"3.16e-01","8.06e-01","3.15e-01","5810","13391","4454","0.388","0.827","0.32","0.358","0.826","0.32"
"TUG1",15705,"NA","8.49e-02","NA","16173","2369","NA","NA","0.146","NA","0.998","0.146","NA"
"CXorf56",15706,"NA","3.06e-02","NA","16174","1035","NA","NA","0.0639","NA","0.998","0.0639","NA"
"SLC6A1",15707,"8.81e-01","4.4e-02","4.2e-01","12171","1409","5900","0.812","0.087","0.424","0.751","0.0869","0.424"
"MYT1L",15708,"9.69e-01","4.07e-01","9.95e-02","14293","7983","1527","0.954","0.493","0.11","0.882","0.493","0.11"
"KNG1",15709,"2.89e-02","8.18e-03","NA","818","359","NA","0.0546","0.0222","NA","0.0505","0.0221","NA"
"VPS13C",15710,"4.47e-02","5.74e-01","2.25e-01","1336","10340","3216","0.0891","0.638","0.231","0.0824","0.638","0.231"
"GRB10",15711,"4.46e-01","9.66e-01","6.23e-01","6853","15675","8690","0.457","0.967","0.625","0.423","0.967","0.625"
"KCNJ10",15712,"3.69e-02","4.51e-03","9.67e-01","1075","221","13449","0.0717","0.0136","0.967","0.0663","0.0136","0.967"
"SPTB",15713,"1.63e-02","7.2e-01","2.16e-01","369","12208","3082","0.0246","0.753","0.222","0.0228","0.753","0.222"
"SLC35B3",15714,"7.61e-01","3.01e-01","3.12e-01","9844","6383","4428","0.657","0.394","0.318","0.607","0.394","0.318"
"DYRK1A",15715,"7.44e-01","4.68e-01","9.48e-01","9608","8873","13193","0.641","0.548","0.948","0.593","0.547","0.948"
"PLEKHG1",15716,"1.46e-01","9.87e-02","1.25e-01","3793","2715","1858","0.253","0.168","0.134","0.234","0.167","0.134"
"BRAF",15717,"2.47e-01","8.51e-01","8.84e-01","5153","14066","12309","0.344","0.868","0.885","0.318","0.868","0.885"
"KSR1",15718,"5.77e-02","1.25e-01","8.35e-01","1744","3289","11628","0.116","0.203","0.836","0.108","0.203","0.836"
"PTPRQ",15719,"4.51e-01","2e-01","7.29e-02","6893","4722","1136","0.46","0.291","0.0817","0.425","0.291","0.0817"
"DOCK10",15720,"6.48e-01","8.81e-01","9.01e-01","8501","14475","12559","0.567","0.893","0.903","0.524","0.893","0.903"
"HARS2",15721,"8.61e-01","6.55e-01","4.08e-01","11732","11376","5745","0.783","0.702","0.413","0.724","0.702","0.413"
"KCNJ6",15722,"7.61e-01","5.91e-01","NA","9840","10570","NA","0.657","0.652","NA","0.607","0.652","NA"
"GPR174",15723,"3.62e-02","7.55e-02","2.13e-01","1050","2166","3046","0.0701","0.134","0.219","0.0648","0.134","0.219"
"TRMU",15724,"8.73e-01","5.07e-01","4.91e-01","12000","9441","6880","0.801","0.583","0.495","0.74","0.582","0.495"
"KDSR",15725,"3.92e-01","1.51e-01","7.54e-01","6433","3815","10495","0.429","0.235","0.754","0.397","0.235","0.754"
"BX255925",15726,"7.07e-01","7.88e-01","2.48e-02","9124","13142","441","0.609","0.811","0.0317","0.563","0.811","0.0317"
"CTNNB1",15727,"NA","3.7e-01","NA","16175","7426","NA","NA","0.458","NA","0.998","0.458","NA"
"ESPN",15728,"2.54e-01","7.06e-01","9.13e-01","5238","12044","12713","0.35","0.743","0.914","0.323","0.743","0.914"
"CFAP92",15729,"3.72e-01","8.63e-01","NA","6267","14205","NA","0.418","0.877","NA","0.387","0.876","NA"
"SLC1A2",15730,"9.94e-01","9.26e-01","4.53e-01","14800","15055","6363","0.988","0.929","0.457","0.913","0.929","0.457"
"ATP13A3",15731,"2.92e-02","1.73e-02","4e-02","828","663","674","0.0553","0.0409","0.0484","0.0511","0.0409","0.0484"
"ARPC1B",15732,"9.45e-01","7.47e-01","8.96e-02","13712","12566","1390","0.915","0.776","0.0999","0.846","0.775","0.0999"
"COL13A1",15733,"9.35e-01","6.86e-01","5.75e-01","13505","11776","8034","0.901","0.727","0.577","0.833","0.727","0.577"
"FAM122C",15734,"5.98e-01","7.27e-01","NA","8012","12301","NA","0.535","0.759","NA","0.494","0.759","NA"
"FOXF2",15735,"8.21e-01","4.68e-01","6.89e-01","10885","8867","9621","0.726","0.547","0.692","0.672","0.547","0.692"
"NOBOX",15736,"8.2e-01","8.19e-01","8.78e-01","10858","13605","12216","0.725","0.84","0.878","0.67","0.839","0.878"
"THPO",15737,"9.09e-01","4.38e-01","1.06e-01","12875","8408","1617","0.859","0.519","0.116","0.794","0.519","0.116"
